case_id,WEEK_NUM,target,actualdpdtolerance_344P,amtinstpaidbefduel24m_4187115A,annuity_780A,annuitynextmonth_57A,applicationcnt_361L,applications30d_658L,applicationscnt_1086L,applicationscnt_464L,applicationscnt_629L,applicationscnt_867L,avgdbddpdlast24m_3658932P,avgdbddpdlast3m_4187120P,avgdbdtollast24m_4525197P,avgdpdtolclosure24_3658938P,avginstallast24m_3658937A,avglnamtstart24m_4525187A,avgmaxdpdlast9m_3716943P,avgoutstandbalancel6m_4187114A,avgpmtlast12m_4525200A,bankacctype_710L,cardtype_51L,clientscnt12m_3712952L,clientscnt3m_3712950L,clientscnt6m_3712949L,clientscnt_100L,clientscnt_1022L,clientscnt_1071L,clientscnt_1130L,clientscnt_157L,clientscnt_257L,clientscnt_304L,clientscnt_360L,clientscnt_493L,clientscnt_533L,clientscnt_887L,clientscnt_946L,cntincpaycont9m_3716944L,cntpmts24_3658933L,commnoinclast6m_3546845L,credamount_770A,credtype_322L,currdebt_22A,currdebtcredtyperange_828A,datefirstoffer_1144D,datelastinstal40dpd_247D,datelastunpaid_3546854D,daysoverduetolerancedd_3976961L,deferredmnthsnum_166L,disbursedcredamount_1113A,disbursementtype_67L,downpmt_116A,dtlastpmtallstes_4499206D,eir_270L,equalitydataagreement_891L,firstclxcampaign_1125D,firstdatedue_489D,homephncnt_628L,inittransactionamount_650A,inittransactioncode_186L,interestrate_311L,isbidproduct_1095L,isdebitcard_729L,lastactivateddate_801D,lastapplicationdate_877D,lastapprcommoditycat_1041M,lastapprcredamount_781A,lastapprdate_640D,lastcancelreason_561M,lastdelinqdate_224D,lastrejectcommoditycat_161M,lastrejectcommodtypec_5251769M,lastrejectcredamount_222A,lastrejectdate_50D,lastrejectreason_759M,lastrejectreasonclient_4145040M,lastst_736L,maininc_215A,mastercontrelectronic_519L,mastercontrexist_109L,maxannuity_159A,maxdbddpdlast1m_3658939P,maxdbddpdtollast12m_3658940P,maxdbddpdtollast6m_4187119P,maxdebt4_972A,maxdpdfrom6mto36m_3546853P,maxdpdinstldate_3546855D,maxdpdinstlnum_3546846P,maxdpdlast12m_727P,maxdpdlast24m_143P,maxdpdlast3m_392P,maxdpdlast6m_474P,maxdpdlast9m_1059P,maxdpdtolerance_374P,maxinstallast24m_3658928A,maxlnamtstart6m_4525199A,maxoutstandbalancel12m_4187113A,maxpmtlast3m_4525190A,mindbddpdlast24m_3658935P,mindbdtollast24m_4525191P,mobilephncnt_593L,monthsannuity_845L,numactivecreds_622L,numactivecredschannel_414L,numactiverelcontr_750L,numcontrs3months_479L,numincomingpmts_3546848L,numinstlallpaidearly3d_817L,numinstls_657L,numinstlsallpaid_934L,numinstlswithdpd10_728L,numinstlswithdpd5_4187116L,numinstlswithoutdpd_562L,numinstmatpaidtearly2d_4499204L,numinstpaid_4499208L,numinstpaidearly3d_3546850L,numinstpaidearly3dest_4493216L,numinstpaidearly5d_1087L,numinstpaidearly5dest_4493211L,numinstpaidearly5dobd_4499205L,numinstpaidearly_338L,numinstpaidearlyest_4493214L,numinstpaidlastcontr_4325080L,numinstpaidlate1d_3546852L,numinstregularpaid_973L,numinstregularpaidest_4493210L,numinsttopaygr_769L,numinsttopaygrest_4493213L,numinstunpaidmax_3546851L,numinstunpaidmaxest_4493212L,numnotactivated_1143L,numpmtchanneldd_318L,numrejects9m_859L,opencred_647L,paytype1st_925L,paytype_783L,pctinstlsallpaidearl3d_427L,pctinstlsallpaidlat10d_839L,pctinstlsallpaidlate1d_3546856L,pctinstlsallpaidlate4d_3546849L,pctinstlsallpaidlate6d_3546844L,pmtnum_254L,posfpd10lastmonth_333P,posfpd30lastmonth_3976960P,posfstqpd30lastmonth_3976962P,price_1097A,sellerplacecnt_915L,sellerplacescnt_216L,sumoutstandtotal_3546847A,sumoutstandtotalest_4493215A,totaldebt_9A,totalsettled_863A,totinstallast1m_4525188A,twobodfilling_608L,typesuite_864L,validfrom_1069D,assignmentdate_238D,birthdate_574D,dateofbirth_337D,days120_123L,days180_256L,days30_165L,days360_512L,days90_310L,education_1103M,firstquarter_103L,fourthquarter_440L,maritalst_385M,numberofqueries_373L,pmtaverage_3A,pmtcount_693L,pmtscount_423L,pmtssum_45A,responsedate_1012D,riskassesment_302T,riskassesment_940T,secondquarter_766L,thirdquarter_1082L,min_annuity_853A,max_annuity_853A,mean_annuity_853A,max_currdebt_94A,mean_currdebt_94A,sum_currdebt_94A,max_mainoccupationinc_437A,mean_mainoccupationinc_437A,sum_mainoccupationinc_437A,mean_cancelreason_3545846M,PREDICTIONS
10,0,0.0,,,9568.601,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,CA,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,100000.0,CAL,0.0,0.0,,,,,0.0,100000.0,GBA,0.0,,0.45,True,,,0.0,,CASH,0.45,False,,,8.0,a55475b1,100000.0,8.0,P73_130_169,,a55475b1,a55475b1,,,a55475b1,a55475b1,T,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,True,OTHER,OTHER,,,,,,24.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,FO,,,,,,,,,,,,,,,,,,,,,,,,,10916.601,10916.601,10916.601,,,0.0,57000.0,57000.0,57000.0,,0.006356824267933202
11,0,0.0,,,4471.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,CA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,70000.0,CAL,0.0,0.0,,,,,0.0,70000.0,GBA,0.0,,0.45,,,,0.0,,CASH,0.45,False,,,,a55475b1,,,a55475b1,,a55475b1,a55475b1,,,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,OTHER,OTHER,,,,,,24.0,0.0,,,,0.0,0.0,,,0.0,0.0,,FO,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003616260422075696
12,0,0.0,,,5215.2,0.0,0.0,0.0,18.0,0.0,0.0,0.0,,,,,,,,,,CA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,40000.0,CAL,0.0,0.0,,,,,0.0,40000.0,GBA,0.0,,0.45,,,,1.0,,CASH,0.45,False,,,,a55475b1,,,a55475b1,,a55475b1,a55475b1,,,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,OTHER,OTHER,,,,,,12.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,FO,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014258073900311315
13,0,0.0,,,3794.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,CA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,44000.0,CAL,0.0,0.0,,,,,0.0,44000.0,GBA,0.0,,0.45,,,,1.0,,CASH,0.45,False,,,-136.0,a55475b1,,,P94_109_143,,a55475b1,a55475b1,40000.0,-136.0,P94_109_143,a55475b1,D,,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2.0,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,False,OTHER,OTHER,,,,,,24.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,FO,AL,,,,,,,,,,,,,,,,,,,,,,,,1603.8,5334.8003,4002.7334333333333,,,0.0,64000.0,44333.333333333336,133000.0,,0.0025173530370600668
14,0,0.0,0.0,,2484.8,0.0,0.0,0.0,2.0,0.0,0.0,2.0,-4.0,,,0.0,4178.0,,0.0,,,CA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,20000.0,CAL,0.0,0.0,,,,0.0,0.0,20000.0,GBA,0.0,,0.45,,,-54.0,2.0,,CASH,0.45,False,,-76.0,-22.0,P159_130_59,11994.0,-84.0,P30_86_84,,P100_96_175,a55475b1,6000.0,-22.0,P30_86_84,a55475b1,D,50000.0,0.0,0.0,4200.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,4178.0,,,,-7.0,,2.0,3.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,3.0,0.0,,4.0,,,2.0,,2.0,,,2.0,,,0.0,3.0,,0.0,,0.0,,0.0,0.0,1.0,False,OTHER,OTHER,0.66667,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,,1.0,2.0,0.0,,0.0,12560.0,,FO,AL,,,,,,,,,,,,,,,,,,,,,,,,2218.0,4178.0,2968.2000000000003,0.0,0.0,0.0,50000.0,44000.0,132000.0,,5.009482351832821e-05
15,0,0.0,,,6191.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,,,,,,,,,,CA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,,,,30000.0,CAL,0.0,0.0,,,,,0.0,30000.0,GBA,0.0,,0.45,,,,1.0,,CASH,0.45,False,,,,a55475b1,,,a55475b1,,a55475b1,a55475b1,,,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,OTHER,OTHER,,,,,,6.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,FO,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22612633279805056
16,0,0.0,,,3253.4001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,CA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,0.0,34000.0,CAL,0.0,0.0,,,,,0.0,34000.0,GBA,0.0,,0.45,,,,2.0,,CASH,0.45,False,,,-269.0,a55475b1,,,P94_109_143,,a55475b1,a55475b1,40000.0,-269.0,P94_109_143,a55475b1,D,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2.0,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False,OTHER,OTHER,,,,,,18.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,FO,AL,,,,,,,,,,,,,,,,,,,,,,,,2821.6,4873.6,3847.6000000000004,,,0.0,79600.0,54800.0,109600.0,,0.0001869711399859812
17,0,0.0,,,5109.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,CA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,80000.0,CAL,0.0,0.0,,,,,0.0,80000.0,GBA,0.0,,0.45,,,,0.0,,CASH,0.45,False,,,-396.0,a55475b1,,,P94_109_143,,P53_45_92,a55475b1,43996.0,-396.0,P94_109_143,a55475b1,D,,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False,OTHER,OTHER,,,,,,24.0,0.0,0.0,0.0,,0.0,1.0,,,0.0,0.0,,FO,AL,,,,,,,,,,,,,,,,,,,,,,,,3665.4001,3665.4001,3665.4001,,,0.0,37000.0,37000.0,37000.0,,0.0460621106326654
18,0,0.0,,,2436.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,INSTANT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,40600.0,REL,0.0,0.0,,,,,0.0,0.0,DD,0.0,,,True,,,0.0,0.0,NDF,,False,False,,-3.0,a55475b1,40600.0,-3.0,P73_130_169,,a55475b1,a55475b1,,,a55475b1,a55475b1,T,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,False,OTHER,OTHER,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,FO,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,50000.0,50000.0,50000.0,,0.002709620382994456
19,0,0.0,,,2581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,CA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,28000.0,CAL,0.0,0.0,,,,,0.0,28000.0,GBA,0.0,,0.2999,,,,0.0,,CASH,0.2999,False,,,,a55475b1,,,a55475b1,,a55475b1,a55475b1,,,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,OTHER,OTHER,,,,,,18.0,,,,,0.0,0.0,,,0.0,0.0,,FO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005005974159370065
